carrera,institucion,acreditacion_institucion,acreditacion_carrera,periodo_acreditacion_carrera,Desde ,Hasta ,Enlace,Documento_Acreditador
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,no acreditada,4 años,2014 - 2018 ,2014,2018,S/I,No Acreditada
Diseño Gráfico,IP AIEP,3 años,5 años, 2015 - 2020,2015,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA404.pdf,Acuerdo
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,3 años,5 años,2013 - 2018 ,2013,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA231-Dise%C3%B1o-de-Vestuario-AIEP.pdf,Acuerdo
Diseño Gráfico Profesional,IP AIEP,3 años,5 años,2015 - 2020,2015,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA404.pdf,Acuerdo
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,3 años,5 años,2013 - 2018 ,2013,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,4 años,5 años,2016 - 2021,2016,2021,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA421.pdf,Acuerdo
Diseño,UNIVERSIDAD DE TALCA,5 años,5 años,2014 - 2019,2014,2019,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N35%20Diseno%20U%20de%20Talca.pdf,Acuerdo
Diseño,UNIVERSIDAD DE VALPARAISO,5 años,5 años,2015 - 2020,2015,2020,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N42%20Diseno%20U%20de%20Valparaiso.pdf,Acuerdo
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,5 años,5 años,2015 - 2020 ,2015,2020,http://www.acreditaccion.cl/dictamenes/Dictamen_N492_Diseno_Multimedia_UTA.pdf,Acuerdo
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019,http://www.inacap.cl/web/acreditacion/ReposicionN65-Diseno-Prod-Grafica.pdf,Acuerdo
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019,http://www.inacap.cl/web/acreditacion/ReposicionN65-Diseno-Prod-Grafica.pdf,Acuerdo
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,7 años,5 años,2013 - 2018,2013,2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N24%20Diseno%20Grafico%20PUCV.pdf,Acuerdo
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,7 años ,5 años, 2013 - 2018,2013,2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N25%20Diseno%20Industrial%20PUCV.pdf,Acuerdo
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,no acreditada,5 años,2013 - 2018,2014,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA220-Dise%C3%B1o-de-Vestuario-U-Pac%C3%ADfico.pdf,Acuerdo
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,no acreditada,5 años,2013 - 2018,2013,2018,S/I,No Acreditada
Diseño Gráfico,UNIVERSIDAD DE CHILE,7 años,5 años ,2012 - 2017,2012,2017,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N20%20Diseno%20U%20Chile.pdf,Acuerdo
Diseño Industrial,UNIVERSIDAD DE CHILE,7 años,5 años ,2012 - 2017,2012,2017,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N20%20Diseno%20U%20Chile.pdf,Acuerdo
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,4 años,6 años,2016 - 2022,2016,2022,http://www.acreditaccion.cl/dictamenes/Resolucion_de_Acreditacion_N584_Diseno_Industrial_UTEM.pdf,Acuerdo
Diseño Industrial,UNIVERSIDAD DEL BIO-BIO,5 años,6 años,2013 - 2019,2013,2019,http://www.acreditaccion.cl/dictamenes/Dictamen_N344_Diseno_Industrial_UBB.pdf,Acuerdo
Diseño,UNIVERSIDAD DEL DESARROLLO,5 años,6 años,2012 - 2018 ,2012,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2013/06/Reposici%C3%B3n-N%C2%BA39-Dise%C3%B1o-UDD.pdf,Acuerdo
Diseño,UNIVERSIDAD DEL DESARROLLO,5 años,6 años,2012 - 2018 ,2012,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2013/06/Reposici%C3%B3n-N%C2%BA39-Dise%C3%B1o-UDD.pdf,Acuerdo
Diseño,UNIVERSIDAD DIEGO PORTALES,5 años,6 años,2016 - 2022 ,2016,2022,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N13%20Diseno%20UDP.pdf,Acuerdo
