carrera,institucion,sede,direccion,web,coordenadas,enlace
Diseño Gráfico Profesional,IP INACAP,INACAP Puente Alto,"Av. Concha y Toro 2730, Puente Alto, Santiago",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/57PXwSQJumA2,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP,INACAP Curicó,"Merced 333, Curicó",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/cSZT61vJqjK2,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP,INACAP Temuco,"Luis Durand 2150, Temuco",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/A1o9Fv13hU92,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP,INACAP Osorno,"Alcalde René Soriano Bórquez 2382, Osorno",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/hLjMaZ3pG2y,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP,INACAP Punta Arenas,"Av. Bulnes 4, Punta Arenas",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/Lo7uHfAmUpw,http://www.inacap.cl
Diseño Gráfico Profesional,IP INACAP, INACAP Arica,"Santa María 2190, Arica",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,https://goo.gl/maps/YxhFL5svYTu,http://www.inacap.cl
Diseño Gráfico Publicitario,IP LOS LEONES,Campus Arturo Prat,"Arturo Prat 269, Santiago, Santiago",http://www.ipleones.cl/carreras/diseno-grafico-publicitario,https://goo.gl/maps/HLz5N4RGsJm,http://www.ipleones.cl
Diseño Industrial,IP DUOC UC,Sede Viña del Mar,"Álvarez 2336, Viña del Mar",http://www.duoc.cl/carrera/diseno-industrial,https://goo.gl/maps/XemHecFvvjn,http://www.duoc.cl
Diseño Industrial,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-industrial,https://goo.gl/maps/D5BE4aGhy6n,http://www.duoc.cl
Diseño Industrial,IP DUOC UC,Sede Plaza Oeste,"Av. Américo Vespucio 1501, Cerrillos, Santiago",http://www.duoc.cl/carrera/diseno-industrial,https://goo.gl/maps/2mHNaB3RzvN2,http://www.duoc.cl
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,Sede Valparaíso,"Brasil 2950, Valparaíso",http://www.pucv.cl/pucv/pregrado/diseno-industrial/2015-06-08/162247.html,https://goo.gl/maps/e7831AGenY92,http://www.pucv.cl
Diseño Industrial,UNIVERSIDAD DE CHILE,Campus Andrés Bello,"Portugal 84, Santiago, Santiago",http://www.uchile.cl/carreras/4929/diseno,https://goo.gl/maps/kwcUyAnWpq72,http://www.uchile.cl
Diseño Industrial,UNIVERSIDAD TECNOLÓGICA METROPOLITANA,Campus Área Central,"Dieciocho 161, Santiago, Santiago",https://fhtcs.utem.cl/carreras-ingreso-psu/diseno-industrial/,https://goo.gl/maps/E39gDtwYB132,https://fhtcs.utem.cl
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Campus Limarí,"Benavente 980, La Serena",http://www.userena.cl/boton-carreras/category/facultad-de-humanidades-2.html,https://goo.gl/maps/dgbCBYSZc8J2,http://www.userena.cl
Diseño Mención Industrial/Gráfico/Ambientes,UNIVERSIDAD MAYOR,Campus El Claustro,"Portugal 351, Santiago, Santiago",https://www.umayor.cl/um/carreras/diseno-santiago/10000,https://goo.gl/maps/WcujB3HM8Ho,https://www.umayor.cl
Diseño Multimedia,UNIVERSIDAD DE TARAPACÁ,Sede Arica,"General Velásquez 1775, Arica",http://admision.uta.cl/diseno-multimedia/admision/2016-03-01/172441.html,https://goo.gl/maps/8RtDgCMqFqw,http://admision.uta.cl
Diseño Teatral,UNIVERSIDAD DE CHILE,Campus Andrés Bello,"Morandé 750, Santiago, Santiago",http://www.uchile.cl/carreras/4940/diseno-teatral,https://goo.gl/maps/DJK2X9qNYjv,http://www.uchile.cl
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACÍFICO,Sede Las Condes,"Av. Las Condes 11121, Las Condes, Santiago",http://www.upacifico.cl/carrera/diseno-de-vestuario-y-textiles#!/carrera/diseno-de-vestuario-y-textiles,https://goo.gl/maps/iuV6vHgxC8F2,http://www.upacifico.cl
Diseño Web & Mobile,CFT INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes,  Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/carrera-diseno-y-programacion-multimedia,https://goo.gl/maps/uR12HMsT2Tn,http://www.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Arica,"Santa María 2190, Arica",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/d6Jc5ckjWj82,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Iquique,"Av. La Tirana 4310, Iquique",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/xeAtS8eRC182,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP La Serena,"Francisco de Aguirre 389, La Serena",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/MWWRq1uhFe22,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes, Santiago",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/nYJuHmj7ANE2,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Peréz Rosales,"Brown Nte 290, Ñuñoa, Santiago",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/SH9BVdVraf62,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Puente Alto,"Av. Concha y Toro 2730, Puente Alto, Santiago",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/nwTXa2UNoH92,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Curicó,"Juan Fernández 2010, Curicó",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/9Sab2Z2Z7y72,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Temuco,"Luis Durand 2150, Temuco",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/nsMRXAngnT42,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Osorno,"Alcalde René Soriano Bórquez 2382, Osorno",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/iYguPkWJfoy,http://portales.inacap.cl
Diseño y Producción Gráfica,CFT INACAP,INACAP Punta Arenas,"Av. Bulnes 4, Punta Arenas",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,https://goo.gl/maps/rHZqo57zXjL2,http://portales.inacap.cl
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Sede Copiapó,"Río Copiapó Sur 2351, Copiapó",http://ipcft.santotomas.cl/carreras/tecnico-diseno-digital-publicitario/,https://goo.gl/maps/LjSPVj3LYE32,http://ipcft.santotomas.cl
